Bias  correction  method:  BCCAQv2
Model  name:  Ensemble
RCP:  85
Variable:  tasmax
Season:  annual
1950-01-01  to  2095-12-31
city_451:  Average  number  of  days  ge  30.0  Mean  Ensemble
Year,MIROC-ESM-CHEM ,NorESM1-ME ,HadGEM2-ES ,FGOALS-g2 ,GFDL-ESM2M ,IPSL-CM5A-MR ,MRI-CGCM3 ,HadGEM2-AO ,CSIRO-Mk3-6-0 ,MPI-ESM-LR ,NorESM1-M ,BNU-ESM ,GFDL-ESM2G ,MIROC5 ,GFDL-CM3 ,MIROC-ESM ,bcc-csm1-1 ,CNRM-CM5 ,CCSM4 ,CanESM2 ,CESM1-CAM5 ,bcc-csm1-1-m ,IPSL-CM5A-LR ,MPI-ESM-MR ,Ensemble
2002,11.0 ,35.0 ,7.0 ,28.0 ,17.0 ,21.0 ,14.0 ,33.0 ,6.0 ,31.0 ,24.0 ,9.0 ,39.0 ,20.0 ,19.0 ,10.0 ,11.0 ,12.0 ,15.0 ,26.0 ,19.0 ,22.0 ,38.0 ,34.0 ,20.9
2003,32.0 ,27.0 ,16.0 ,21.0 ,14.0 ,13.0 ,16.0 ,40.0 ,28.0 ,17.0 ,28.0 ,16.0 ,5.0 ,23.0 ,12.0 ,10.0 ,24.0 ,26.0 ,26.0 ,20.0 ,23.0 ,13.0 ,25.0 ,14.0 ,20.4
2004,40.0 ,13.0 ,24.0 ,29.0 ,17.0 ,17.0 ,17.0 ,44.0 ,23.0 ,3.0 ,14.0 ,26.0 ,5.0 ,17.0 ,18.0 ,12.0 ,29.0 ,24.0 ,10.0 ,20.0 ,16.0 ,40.0 ,17.0 ,19.0 ,20.6
2005,19.0 ,21.0 ,30.0 ,18.0 ,9.0 ,11.0 ,17.0 ,28.0 ,14.0 ,16.0 ,30.0 ,14.0 ,22.0 ,33.0 ,25.0 ,14.0 ,24.0 ,22.0 ,15.0 ,19.0 ,8.0 ,28.0 ,21.0 ,28.0 ,20.2
2006,20.0 ,33.0 ,30.0 ,31.0 ,32.0 ,24.0 ,8.0 ,40.0 ,16.0 ,17.0 ,27.0 ,15.0 ,22.0 ,9.0 ,14.0 ,12.0 ,45.0 ,42.0 ,13.0 ,34.0 ,32.0 ,13.0 ,27.0 ,15.0 ,23.8
2007,24.0 ,20.0 ,25.0 ,23.0 ,7.0 ,22.0 ,12.0 ,4.0 ,11.0 ,5.0 ,22.0 ,24.0 ,16.0 ,26.0 ,28.0 ,24.0 ,8.0 ,10.0 ,16.0 ,23.0 ,24.0 ,23.0 ,18.0 ,12.0 ,17.8
2008,11.0 ,10.0 ,20.0 ,24.0 ,23.0 ,24.0 ,25.0 ,26.0 ,27.0 ,11.0 ,26.0 ,12.0 ,15.0 ,21.0 ,8.0 ,14.0 ,31.0 ,27.0 ,26.0 ,31.0 ,25.0 ,22.0 ,27.0 ,15.0 ,20.9
2009,23.0 ,23.0 ,46.0 ,33.0 ,27.0 ,14.0 ,15.0 ,26.0 ,34.0 ,19.0 ,25.0 ,24.0 ,11.0 ,22.0 ,53.0 ,24.0 ,25.0 ,2.0 ,22.0 ,28.0 ,26.0 ,29.0 ,14.0 ,27.0 ,24.7
2010,11.0 ,6.0 ,46.0 ,21.0 ,17.0 ,35.0 ,16.0 ,31.0 ,25.0 ,26.0 ,20.0 ,24.0 ,20.0 ,29.0 ,45.0 ,10.0 ,13.0 ,5.0 ,18.0 ,15.0 ,21.0 ,26.0 ,24.0 ,20.0 ,21.8
2011,15.0 ,12.0 ,16.0 ,27.0 ,33.0 ,25.0 ,13.0 ,14.0 ,25.0 ,34.0 ,11.0 ,48.0 ,19.0 ,19.0 ,21.0 ,29.0 ,40.0 ,21.0 ,41.0 ,22.0 ,13.0 ,26.0 ,11.0 ,9.0 ,22.7
2012,14.0 ,39.0 ,17.0 ,31.0 ,40.0 ,34.0 ,26.0 ,15.0 ,16.0 ,11.0 ,29.0 ,52.0 ,17.0 ,2.0 ,23.0 ,38.0 ,27.0 ,16.0 ,17.0 ,33.0 ,10.0 ,53.0 ,27.0 ,7.0 ,24.8
2013,26.0 ,11.0 ,53.0 ,14.0 ,19.0 ,26.0 ,15.0 ,32.0 ,4.0 ,15.0 ,10.0 ,20.0 ,3.0 ,32.0 ,27.0 ,26.0 ,27.0 ,10.0 ,26.0 ,27.0 ,20.0 ,39.0 ,21.0 ,7.0 ,21.2
2014,13.0 ,11.0 ,50.0 ,32.0 ,16.0 ,27.0 ,15.0 ,60.0 ,24.0 ,34.0 ,19.0 ,33.0 ,42.0 ,33.0 ,34.0 ,22.0 ,36.0 ,1.0 ,7.0 ,46.0 ,31.0 ,18.0 ,28.0 ,16.0 ,27.0
2015,25.0 ,20.0 ,8.0 ,39.0 ,25.0 ,10.0 ,34.0 ,48.0 ,22.0 ,27.0 ,8.0 ,35.0 ,5.0 ,20.0 ,30.0 ,11.0 ,26.0 ,22.0 ,34.0 ,34.0 ,28.0 ,28.0 ,15.0 ,12.0 ,23.6
2016,17.0 ,29.0 ,27.0 ,20.0 ,59.0 ,14.0 ,22.0 ,55.0 ,23.0 ,21.0 ,14.0 ,18.0 ,29.0 ,11.0 ,19.0 ,9.0 ,38.0 ,30.0 ,28.0 ,31.0 ,30.0 ,41.0 ,39.0 ,25.0 ,27.0
2017,10.0 ,37.0 ,27.0 ,33.0 ,22.0 ,13.0 ,18.0 ,20.0 ,15.0 ,34.0 ,33.0 ,27.0 ,15.0 ,20.0 ,29.0 ,37.0 ,44.0 ,14.0 ,51.0 ,41.0 ,20.0 ,27.0 ,34.0 ,5.0 ,26.1
2018,23.0 ,48.0 ,5.0 ,18.0 ,19.0 ,11.0 ,14.0 ,38.0 ,32.0 ,36.0 ,6.0 ,44.0 ,33.0 ,20.0 ,46.0 ,22.0 ,45.0 ,8.0 ,54.0 ,40.0 ,19.0 ,20.0 ,17.0 ,33.0 ,27.1
