,Asset Name,Asset Type,Asset Address,Asset Size SQF,Asset Date Built,2023 FCI Rating,Year_Built,dry_days_hxmax40_mean,freeze_thaw_mean,ice_days_mean,max_temp_mean_mean,minimum_temp_mean_mean,tg_mean_6_mean,total_precipitation_mean,wet_days_plus20mm_mean,WARD
352,Myrtle Park - Pavilion/Storage,Park Facilities - Public Use,13 Delaware Ave.,1160.0,1969-01-02,0.0170543453791128,1969.0,1.5,62.42857142857143,49.38392857142857,13.26125,4.058571428571429,8.661785714285715,838.7401785714285,6.946428571428571,3
353,NORMAN PINKY LEWIS RECREATION CENTRE (P),Indoor Pools,192 WENTWORTH STREET NORTH,35074.0,1985-01-02,0.0697498908834528,1985.0,1.525,59.325,41.575,13.970999999999998,4.8195,9.39275,818.7439999999999,6.9375,3
354,OLYMPIC WESTOBY ARENA,Arenas,70 OLYMPIC DRIVE,27086.0,1982-01-02,0.010454162597979,1982.0,1.7209302325581397,63.84883720930232,47.395348837209305,13.546744186046512,4.039767441860466,8.790930232558141,841.0818604651164,7.046511627906977,13
355,OPTIMIST YOUTH CENTRE,Community Centres,237 MANITOU WAY,3819.0,1969-01-02,0.0405006996184344,1969.0,1.3035714285714286,64.57142857142857,50.99107142857143,13.204107142857143,3.759464285714285,8.483214285714286,843.8280357142858,7.0625,12
356,PARKDALE OUTDOOR POOL,Outdoor Pools,1770 MAIN STREET EAST,4700.0,1965-01-02,0.0742680459346021,1965.0,1.4166666666666667,59.18333333333333,46.59166666666667,13.39083333333333,4.457166666666668,8.925333333333333,823.405,6.725,4
357,PARKING OPERATIONS - CAR PARK 37,Administration Facilities,80 MAIN STREET WEST,254780.0,1982-01-02,0.0054949198752409,1982.0,1.7209302325581397,59.61627906976744,42.15116279069768,13.889767441860466,4.738604651162791,9.311162790697674,816.2588372093022,6.906976744186046,2
358,PAT QUINN PARKDALE ARENA,Arenas,1770 MAIN STREET EAST,34018.0,1999-01-02,0.313819933300383,1999.0,2.5,56.30769230769231,39.82692307692308,14.112692307692308,5.216538461538462,9.668076923076924,835.4319230769231,7.153846153846154,4
359,PEDESTRIAN OVERPASS,Administration Facilities,1 SUMMERS LANE,1950.0,1984-01-01,0.0,1984.0,1.804878048780488,59.39024390243903,41.81707317073171,13.940243902439024,4.789024390243903,9.36219512195122,817.6141463414634,6.926829268292683,2
360,Pier 4 Park - Gartshore Thomson Bldg (Heritage),Park Facilities - Public Use,Leander Dr,1975.0,1870-01-01,0.0149318738552155,1870.0,1.1466666666666667,61.553333333333335,45.56666666666667,13.476666666666668,4.297066666666666,8.8848,806.5114666666668,6.673333333333333,2
361,Pier 4 Park - Pavilion/Sun Shelter At Water's Edge,Park Facilities - Public Use,Leander Dr,795.0,2014-01-02,0.0,2014.0,3.1818181818181817,55.72727272727273,34.04545454545455,14.703636363636363,5.603636363636364,10.145454545454545,821.3654545454546,7.318181818181818,2
362,Powell Park - Sun Shelter,Park Facilities - Public Use,53 Birch Ave.,380.0,1985-01-02,0.0,1985.0,1.525,59.325,41.575,13.970999999999998,4.8195,9.39275,818.7439999999999,6.9375,3
363,"Powell Park - Washrooms, Small Meeting Space, Storage",Park Facilities - Public Use,53 Birch Ave.,4305.0,1968-01-02,0.0600154496528242,1968.0,1.105263157894737,60.56140350877193,44.175438596491226,13.655263157894735,4.486315789473684,9.07,810.890701754386,6.754385964912281,3
364,PROVINCIAL OFFENCES ADMINISTRATION,Administration Facilities,50 MAIN STREET EAST,109188.0,1961-01-02,0.0011957883009966,1961.0,1.265625,60.9140625,44.9140625,13.569375,4.393437500000001,8.98109375,807.2878125,6.7578125,2
365,R.L. HYSLOP SCHOOL,Administration Facilities,20 Lake Avenue South,25000.0,1978-01-03,0.0745616782390308,1978.0,1.74468085106383,58.32978723404256,44.840425531914896,13.609574468085103,4.687234042553191,9.14787234042553,828.6123404255316,6.861702127659575,5
